date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Apr%202020%2013:44:43%20GMT	http://jessdesigntan.com/images/lgoo.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/lgoo.2d.delayed	(from http://jessdesigntan.com/css/style.css)
19:14:57	7440/7440	---M-Z	200	added ('OK')	text/html	etag:%223182455-1d10-584d863595e0f-gzip%22	http://jessdesigntan.com/index.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/index-2.html	(from http://jessdesigntan.com/workitout.html)
19:14:59	142465/142465	---M--	200	added ('OK')	image/jpeg	etag:%22318227e-22c81-57861a58a0500%22	http://jessdesigntan.com/images/card-sqrl.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/card-sqrl.jpg	(from http://jessdesigntan.com/css/style.css)
19:15:06	137724/137724	---M--	200	added ('OK')	image/jpeg	etag:%223182274-219fc-578802be30ac0%22	http://jessdesigntan.com/images/st_card_mobile.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/st_card_mobile.jpg	(from http://jessdesigntan.com/css/style.css)
19:15:08	66800/66800	---M--	200	added ('OK')	image/png	etag:%223201db9-104f0-5781782a537c0%22	http://jessdesigntan.com/images/workitout/fitness-logo.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/fitness-logo.png	(from http://jessdesigntan.com/workitout.html)
19:15:08	710/710	---M--	200	added ('OK')	image/svg+xml	etag:%223201db7-2c6-5782aff9d1f00%22	http://jessdesigntan.com/images/workitout/discover_footer.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/discover_footer.svg	(from http://jessdesigntan.com/workitout.html)
19:15:25	159318/159318	---M--	200	added ('OK')	image/jpeg	etag:%22320152b-26e56-578175bb93a80%22	http://jessdesigntan.com/images/workitout/landing_app.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/landing_app.jpg	(from http://jessdesigntan.com/workitout.html)
19:15:25	268082/268082	---M--	200	added ('OK')	image/jpeg	etag:%223182270-41732-5786eab772080%22	http://jessdesigntan.com/images/st_card.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/st_card.jpg	(from http://jessdesigntan.com/css/style.css)
19:15:32	145733/145733	---M--	200	added ('OK')	image/jpeg	etag:%2232014b8-23945-5781b2c864380%22	http://jessdesigntan.com/images/workitout/step1.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/step1.jpg	(from http://jessdesigntan.com/workitout.html)
19:15:36	21991/21991	---M--	200	added ('OK')	image/jpeg	etag:%223201db8-55e7-5781b8f689840%22	http://jessdesigntan.com/images/workitout/start-swipe.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/start-swipe.jpg	(from http://jessdesigntan.com/workitout.html)
19:15:47	135646/135646	---M--	200	added ('OK')	image/jpeg	etag:%2232014b5-211de-5781b66b2d780%22	http://jessdesigntan.com/images/workitout/step3.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/step3.jpg	(from http://jessdesigntan.com/workitout.html)
19:15:51	159989/159989	---M--	200	added ('OK')	image/jpeg	etag:%2232014b7-270f5-5781b2d2e1c40%22	http://jessdesigntan.com/images/workitout/step2.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/step2.jpg	(from http://jessdesigntan.com/workitout.html)
19:16:14	141303/141303	---M--	200	added ('OK')	image/jpeg	etag:%2232014b4-227f7-5781beb23df00%22	http://jessdesigntan.com/images/workitout/schedule_workout.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/schedule_workout.jpg	(from http://jessdesigntan.com/workitout.html)
19:16:18	20689/20689	---M--	200	added ('OK')	image/png	etag:%2232014bb-50d1-5781c0baf2b80%22	http://jessdesigntan.com/images/workitout/end-swipe.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/end-swipe.png	(from http://jessdesigntan.com/workitout.html)
19:16:41	140680/140680	---M--	200	added ('OK')	image/jpeg	etag:%2231c343a-22588-5782b771efe40%22	http://jessdesigntan.com/images/timezone/header.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/header.jpg	(from http://jessdesigntan.com/timezone.html)
19:16:45	22974/22974	---M--	200	added ('OK')	image/png	etag:%2231c343e-59be-578318e332380%22	http://jessdesigntan.com/images/timezone/flow.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/flow.png	(from http://jessdesigntan.com/timezone.html)
19:16:46	2564/2564	---M--	200	added ('OK')	image/svg+xml	etag:%2231c344b-a04-5782c642b3280%22	http://jessdesigntan.com/images/timezone/sun_footer.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/sun_footer.svg	(from http://jessdesigntan.com/timezone.html)
19:16:46	623225/623225	---M--	200	added ('OK')	image/jpeg	etag:%2232014b9-98279-578188df8e300%22	http://jessdesigntan.com/images/workitout/discover_bg.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/discover_bg.jpg	(from http://jessdesigntan.com/workitout.html)
19:16:50	26472/26472	---M--	200	added ('OK')	image/png	etag:%2231c342d-6768-5782c3eea7440%22	http://jessdesigntan.com/images/timezone/switching.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/switching.png	(from http://jessdesigntan.com/timezone.html)
19:16:50	1011/1011	---M--	200	added ('OK')	image/svg+xml	etag:%2231c343b-3f3-5782c5516b940%22	http://jessdesigntan.com/images/timezone/moon_footer.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/moon_footer.svg	(from http://jessdesigntan.com/timezone.html)
19:16:51	464651/464651	---M--	200	added ('OK')	image/jpeg	etag:%2232014b3-7170b-5781ba3f8e080%22	http://jessdesigntan.com/images/workitout/iterations.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/iterations.jpg	(from http://jessdesigntan.com/workitout.html)
19:16:52	34206/34206	---M--	200	added ('OK')	image/png	etag:%2231c342f-859e-5782c3fa18f40%22	http://jessdesigntan.com/images/timezone/time.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/time.png	(from http://jessdesigntan.com/timezone.html)
19:16:56	29981/29981	---M--	200	added ('OK')	image/jpeg	etag:%2231c3435-751d-5782cce625c00%22	http://jessdesigntan.com/images/timezone/meeting_blocks.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/meeting_blocks.jpg	(from http://jessdesigntan.com/timezone.html)
19:16:58	10171/10171	---M--	200	added ('OK')	image/jpeg	etag:%2231c3424-27bb-5782d026b4840%22	http://jessdesigntan.com/images/timezone/dates.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/dates.jpg	(from http://jessdesigntan.com/timezone.html)
19:16:58	41511/41511	---M--	200	added ('OK')	image/jpeg	etag:%2231c3425-a227-5782cdac83000%22	http://jessdesigntan.com/images/timezone/night_view.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/night_view.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:03	77669/77669	---M--	200	added ('OK')	image/jpeg	etag:%2231c344a-12f65-5782c7686e780%22	http://jessdesigntan.com/images/timezone/process.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/process.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:08	63057/63057	---M--	200	added ('OK')	image/jpeg	etag:%2231c3438-f651-5782cfcfebb80%22	http://jessdesigntan.com/images/timezone/add_participants.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/add_participants.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:12	20593/20593	---M--	200	added ('OK')	image/png	etag:%2231c343d-5071-5782d43912380%22	http://jessdesigntan.com/images/timezone/stars.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/stars.png	(from http://jessdesigntan.com/timezone.html)
19:17:15	106117/106117	---M--	200	added ('OK')	image/jpeg	etag:%2231c3436-19e85-5782d19119f40%22	http://jessdesigntan.com/images/timezone/nightview_day.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/nightview_day.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:18	33666/33666	---M--	200	added ('OK')	image/png	etag:%2231c344e-8382-5782d64f20f80%22	http://jessdesigntan.com/images/timezone/stars1.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/stars1.png	(from http://jessdesigntan.com/timezone.html)
19:17:21	112848/112848	---M--	200	added ('OK')	image/jpeg	etag:%2231c3431-1b8d0-5782d19b97800%22	http://jessdesigntan.com/images/timezone/nightview_night.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/nightview_night.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:42	158788/158788	---M--	200	added ('OK')	image/jpeg	etag:%2231c3434-26c44-5782d37779ac0%22	http://jessdesigntan.com/images/timezone/inspiration.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/inspiration.jpg	(from http://jessdesigntan.com/timezone.html)
19:17:48	183446/183446	---M--	200	added ('OK')	image/jpeg	etag:%2231c3430-2cc96-5782d716725c0%22	http://jessdesigntan.com/images/timezone/desktop.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/desktop.jpg	(from http://jessdesigntan.com/timezone.html)
19:18:09	893458/893458	---M--	200	added ('OK')	image/jpeg	etag:%223201db6-da212-5781bd08e7380%22	http://jessdesigntan.com/images/workitout/screens_bg.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/screens_bg.jpg	(from http://jessdesigntan.com/workitout.html)
19:18:13	150952/150952	---M--	200	added ('OK')	image/jpeg	etag:%2232014a9-24da8-5784388093500%22	http://jessdesigntan.com/images/sharession/divider.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/divider.jpg	(from http://jessdesigntan.com/sharession.html)
19:18:22	247075/247075	---M--	200	added ('OK')	image/jpeg	etag:%2232014aa-3c523-57842accf6180%22	http://jessdesigntan.com/images/sharession/scenario.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/scenario.jpg	(from http://jessdesigntan.com/sharession.html)
19:18:25	400594/400594	---M--	200	added ('OK')	image/jpeg	etag:%2232014ab-61cd2-5784297f2ce00%22	http://jessdesigntan.com/images/sharession/header.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/header.jpg	(from http://jessdesigntan.com/sharession.html)
19:18:39	161768/161768	---M--	200	added ('OK')	image/jpeg	etag:%2232014ac-277e8-5784405bdfe40%22	http://jessdesigntan.com/images/sharession/design_considerations.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/design_considerations.jpg	(from http://jessdesigntan.com/sharession.html)
19:18:51	154390/154390	---M--	200	added ('OK')	image/jpeg	etag:%2232014ae-25b16-57844c05d4300%22	http://jessdesigntan.com/images/sharession/factor2.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/factor2.jpg	(from http://jessdesigntan.com/sharession.html)
19:18:52	187989/187989	---M--	200	added ('OK')	image/jpeg	etag:%2232014ad-2de55-57844b5472080%22	http://jessdesigntan.com/images/sharession/factor1.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/factor1.jpg	(from http://jessdesigntan.com/sharession.html)
19:19:00	58956/58956	---M--	200	added ('OK')	image/jpeg	etag:%2232014af-e64c-57843cd6a7000%22	http://jessdesigntan.com/images/sharession/wave_bottom.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/wave_bottom.jpg	(from http://jessdesigntan.com/sharession.html)
19:19:04	72423/72423	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c0b-11ae7-578686476ea40%22	http://jessdesigntan.com/images/sqrl/header.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/header.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:09	21872/21872	---M--	200	added ('OK')	image/jpeg	etag:%2231a0bcf-5570-578583c4281c0%22	http://jessdesigntan.com/images/sqrl/colors.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/colors.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:11	197758/197758	---M--	200	added ('OK')	image/jpeg	etag:%2232014a8-3047e-578440d221540%22	http://jessdesigntan.com/images/sharession/final.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession/final.jpg	(from http://jessdesigntan.com/sharession.html)
19:19:17	101603/101603	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c0e-18ce3-57858297bfd00%22	http://jessdesigntan.com/images/sqrl/logo_process.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/logo_process.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:17	51703/51703	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c0d-c9f7-5785840225400%22	http://jessdesigntan.com/images/sqrl/fonts.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/fonts.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:31	118547/118547	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c6f-1cf13-578585864a7c0%22	http://jessdesigntan.com/images/sqrl/howitworks1.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/howitworks1.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:32	94530/94530	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c10-17142-5785859498980%22	http://jessdesigntan.com/images/sqrl/howitworks2.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/howitworks2.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:33	96096/96096	---M--	200	added ('OK')	image/jpeg	etag:%2231a0c56-17760-578585a5c3200%22	http://jessdesigntan.com/images/sqrl/howitworks3.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/howitworks3.jpg	(from http://jessdesigntan.com/sqrl.html)
19:19:40	54929/54929	---M--	200	added ('OK')	image/png	etag:%2231a0c0f-d691-5785870f346c0%22	http://jessdesigntan.com/images/sqrl/multiple-choice.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/multiple-choice.png	(from http://jessdesigntan.com/sqrl.html)
19:19:40	46827/46827	---M--	200	added ('OK')	image/png	etag:%2231a0bf8-b6eb-57858a2c79fc0%22	http://jessdesigntan.com/images/sqrl/paragraphs.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl/paragraphs.png	(from http://jessdesigntan.com/sqrl.html)
